,mig_ext_sex,mig_ext_age,mig_ext_motivo,mig_ext_motivo/1,mig_ext_motivo/2,mig_ext_motivo/3,mig_ext_motivo/4,mig_ext_motivo/5,mig_ext_motivo/6,mig_ext_motivo/7,mig_ext_motivo/8,mig_ext_motivo/9,mig_ext_motivo/10,mig_ext_motivo/11,mig_ext_motivo/12,mig_ext_motivo/13,mig_ext_motivo/14,mig_ext_motivo/15,mig_ext_motivo/16,mig_ext_motivo/99,mig_ext_acompany,mig_ext_acompany/1,mig_ext_acompany/2,mig_ext_acompany/3,mig_ext_acompany/4,mig_ext_acompany/5,mig_ext_acompany/6,mig_ext_acompany/7,mig_ext_acompany/8,mig_ext_acompany/9,mig_ext_acompany/99,mig_ext_medio,mig_ext_medio/1,mig_ext_medio/2,mig_ext_medio/3,mig_ext_medio/4,mig_ext_medio/5,mig_ext_medio/6,mig_ext_medio/7,mig_ext_medio/8,mig_ext_medio/9,mig_ext_medio/10,mig_ext_medio/11,mig_ext_medio/12,mig_ext_medio/99,mig_ext_cost_awareness,mig_ext_cost_currency,mig_ext_cost_total,mig_ext_attempts,mig_ext_cost_dist_awareness,mig_ext_cost_transportation,mig_ext_cost_subsistence,mig_ext_cost_intermediaries,mig_ext_cost_other,sum_gasto_viaje,note_mig_calculo,mig_ext_finance,mig_ext_finance/1,mig_ext_finance/2,mig_ext_finance/3,mig_ext_finance/4,mig_ext_finance/5,mig_ext_finance/6,mig_ext_finance/7,mig_ext_finance/8,mig_ext_finance/9,mig_ext_finance/10,mig_ext_finance/11,mig_ext_finance/99,mig_ext_violence,mig_ext_violence/1,mig_ext_violence/2,mig_ext_violence/3,mig_ext_violence/4,mig_ext_violence/5,mig_ext_violence/6,mig_ext_violence/7,mig_ext_violence/8,mig_ext_violence/9,mig_ext_violence/10,mig_ext_violence/11,mig_ext_violence/99,mig_ext_violence_who,mig_ext_violence_who/1,mig_ext_violence_who/2,mig_ext_violence_who/3,mig_ext_violence_who/4,mig_ext_violence_who/5,mig_ext_violence_who/6,mig_ext_violence_who/7,mig_ext_violence_who/99,mig_ext_country,mig_ext_country_other,mig_ext_llego,mig_ext_return,_index,_parent_table_name,rsp_id,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission__tags,country,mig_ext_finance_group/1,mig_ext_finance_group/2,mig_ext_finance_group/3,mig_ext_medio_group/1,mig_ext_medio_group/2,mig_ext_medio_group/3,cost_per_attempt,migrated_yn
10,2,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,11700.0,3.0,0.0,,,,,,,8,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,4,,10,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,41,172944299,5c40ddc9-5671-4142-97a5-4e942a6973ff,2021-04-21T20:07:10,,[],submitted_via_web,wfpmandeteam,[],GT,0,1,0,0,1,0,3900.0,1
11,2,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,7800.0,1.0,0.0,,,,,,,5,0,0,0,0,1,0,0,0,0,0,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,1,,4,,12,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,43,172944306,b3870c99-d2d6-4fb0-9812-7e63f3580c19,2021-04-21T20:07:12,,[],submitted_via_web,wfpmandeteam,[],GT,0,1,0,0,1,0,7800.0,1
12,1,24,1 8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.0,1066.0,1.0,,,,,,,,8,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,4,,1,,14,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,46,172945251,7d0d31d1-949e-4ebf-9319-d254d05d222a,2021-04-21T20:14:22,,[],submitted_via_web,wfpmandeteam,[],HND,0,1,0,1,0,0,1066.0,1
13,1,26,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1312.0,1.0,,,,,,,,2,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,4,,1,,15,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,47,172947728,2f11b38e-1e9a-4180-a4cb-0046f8516fc8,2021-04-21T20:33:36,,[],submitted_via_web,wfpmandeteam,[],HND,1,0,0,1,0,0,1312.0,1
14,2,27,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1312.0,1.0,,,,,,,,4,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,4,,1,,16,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,47,172947728,2f11b38e-1e9a-4180-a4cb-0046f8516fc8,2021-04-21T20:33:36,,[],submitted_via_web,wfpmandeteam,[],HND,1,0,0,1,0,0,1312.0,1
15,2,48,2 6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,3,0,0,1,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,1,,17,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,49,172947777,57bfcd08-adf2-4365-a34b-b27ff9ab23d5,2021-04-21T20:33:59,,[],submitted_via_web,wfpmandeteam,[],HND,1,0,0,0,0,1,,1
16,2,54,1 2 8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,3900.0,1.0,0.0,,,,,,,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,2,1.0,18,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,50,172949865,3ee1fd77-d57a-4b9f-a57b-91c1ba36e293,2021-04-21T20:49:21,,[],submitted_via_web,wfpmandeteam,[],GT,1,0,0,0,1,0,3900.0,1
17,2,21,1 9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,3900.0,1.0,0.0,,,,,,,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,6,1.0,19,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,50,172949865,3ee1fd77-d57a-4b9f-a57b-91c1ba36e293,2021-04-21T20:49:21,,[],submitted_via_web,wfpmandeteam,[],GT,1,0,0,0,1,0,3900.0,1
18,2,51,1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,3000.0,5.0,0.0,,,,,,,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,1,,20,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,52,172949868,67db9013-95c7-4343-b04f-fd6658893d5b,2021-04-21T20:49:23,,[],submitted_via_web,wfpmandeteam,[],GT,1,0,0,0,1,0,600.0,1
19,2,50,1 8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,2.0,0.0,,,,,,,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,6,1.0,21,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,53,172949870,64838c61-0a72-4bcb-9bac-7bc9d0678460,2021-04-21T20:49:24,,[],submitted_via_web,wfpmandeteam,[],GT,0,0,1,0,1,0,,1
20,1,23,1 8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,4550.0,3.0,0.0,,,,,,,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,99,,22,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,56,172951899,447edc0b-09f4-46fe-bc5e-58ffe2821380,2021-04-21T21:07:08,,[],submitted_via_web,wfpmandeteam,[],GT,0,1,0,0,1,0,1516.666666666667,1
21,2,41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,99,,,,,,,,,,,99,0,0,0,0,0,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,,6,8.0,23,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,63,172964778,01e7a39f-5578-4b55-8f45-f412eeede99b,2021-04-21T23:21:08,,[],submitted_via_web,wfpmandeteam,[],HND,0,0,0,0,0,1,,1
22,2,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,99,0,0,0,0,0,0,0,0,0,0,0,1,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,1,,2,1.0,24,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,69,172965213,35eb3cab-1905-4291-8ad8-6fcf417bfcd8,2021-04-21T23:23:53,,[],submitted_via_web,wfpmandeteam,[],HND,0,0,0,0,0,1,,1
23,2,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,0.0,,,,,,,99,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,1,,25,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,69,172965213,35eb3cab-1905-4291-8ad8-6fcf417bfcd8,2021-04-21T23:23:53,,[],submitted_via_web,wfpmandeteam,[],HND,0,0,0,0,0,1,,1
24,2,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,99,,,,99.0,,,,,,,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,1,,26,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,71,172965219,e0c23c42-3977-4704-b793-29f22bd835e3,2021-04-21T23:23:55,,[],submitted_via_web,wfpmandeteam,[],HND,0,1,0,0,1,0,,1
25,1,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,8,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,4,,1,,27,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,71,172965219,e0c23c42-3977-4704-b793-29f22bd835e3,2021-04-21T23:23:55,,[],submitted_via_web,wfpmandeteam,[],HND,0,1,0,1,0,0,,1
26,1,23,1 6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,4,,1,,28,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,72,172965222,f6c68331-bf86-4199-934f-79e042600e5b,2021-04-21T23:23:56,,[],submitted_via_web,wfpmandeteam,[],HND,1,0,0,1,0,0,,1
27,1,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2.0,6150.0,3.0,0.0,,,,,,,8,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,1,,29,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,78,172965801,ce98de79-7aec-4f77-ae5d-ce3d5ec38b3b,2021-04-21T23:32:13,,[],submitted_via_web,wfpmandeteam,[],HND,0,1,0,0,1,0,2050.0,1
28,1,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2.0,6150.0,3.0,0.0,,,,,,,8,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,1,,30,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,78,172965801,ce98de79-7aec-4f77-ae5d-ce3d5ec38b3b,2021-04-21T23:32:13,,[],submitted_via_web,wfpmandeteam,[],HND,0,1,0,0,1,0,2050.0,1
29,2,28,1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,9 5,0,0,0,0,1,0,0,0,1,0,0,0,0,99,,,3.0,99.0,,,,,,,6,0,0,0,0,0,1,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,,6,1.0,31,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,80,172965953,85c88d3c-1c08-47d2-8572-3bf3b47bf43e,2021-04-21T23:36:51,,[],submitted_via_web,wfpmandeteam,[],HND,0,1,0,1,1,0,,1
30,2,23,2 1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.0,410.0,1.0,0.0,,,,,,,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,,2,6.0,32,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,88,172966041,16eab204-688d-4d49-8537-1839aecf8b09,2021-04-21T23:39:35,,[],submitted_via_web,wfpmandeteam,[],HND,0,0,1,0,0,1,410.0,1
31,2,33,1 6 8,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,455.0,2.0,1.0,0.0,0.0,100.0,0.0,100.0,,5,0,0,0,0,1,0,0,0,0,0,0,0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,2,,99,,33,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,91,172967516,0f55172a-118f-438e-b7c0-052d493b71e1,2021-04-22T00:03:07,,[],submitted_via_web,wfpmandeteam,[],GT,0,1,0,0,1,0,227.5,1
32,1,55,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,99,,,3.0,0.0,,,,,,,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1,,1,,34,Estudio de Migraci_n y Seguridad Alimentaria - Encuesta de hogares 2021 VERSION FINAL,95,172970567,5fa56a1e-6367-49f1-97ac-aa215ca44df2,2021-04-22T00:48:43,,[],submitted_via_web,wfpmandeteam,[],HND,0,1,0,0,1,0,,1
